ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
300649.SZ,20.79,39.52,57.357,160.0225,8.1088,16.9883,1.3575,40.9199,5.774,33.9725,266112,505856
300650.SZ,12.66,49.33,22.7745,60.5586,2.762,6.6477,0.6443,56.3289,3.138,9.2229,135907.1256,311509.084
300651.SZ,32.79,55.52,56.7845,102.9163,4.1811,6.4358,0.4053,14.2149,7.3108,9.5068,248329.8186,420471.8368
300652.SZ,17.13,28.39,18.9572,32.6942,2.1935,3.9307,0.7117,18.9037,3.0238,5.1989,150744,249832
300653.SZ,27.86,76.36,39.914,80.6199,4.8435,13.1353,0.963,58.6342,12.6859,31.5982,222880,610880
300654.SZ,11.79,35.72,48.8397,129.2477,3.872,9.5807,0.5496,42.1133,4.2585,11.2892,165089.475,429316.65
300655.SZ,12.7,39.35,37.5504,89.7708,3.9752,7.4999,1.4859,47.8923,2.6643,6.0755,181088.8666,347263.4942
300656.SZ,18.3,62.34,30.6125,92.4471,3.7672,8.9216,0.7696,36.3884,7.0693,30.5273,164700,374040
300657.SZ,25.82,49.99,24.5936,112.8911,4.8977,9.4195,0.61,34.7148,1.4494,3.2696,268528,519896
300658.SZ,10.79,30.61,26.207,50.7427,2.1251,4.9423,0.4504,65.2099,2.2528,5.0171,161850,360750
300659.SZ,16.03,53.52,48.7258,106.1144,5.3524,10.7847,0.1327,57.3129,6.9212,17.1732,212995.419,473682.478
300660.SZ,17.36,68.3,15.4969,32.4182,1.5698,3.5259,0.6719,22.9342,1.4586,3.5648,318480.8659,690376.4
300661.SZ,65.67,135.27,49.3954,95.1269,6.0237,12.313,0.6005,13.9339,8.8297,16.3445,452488.4016,922603.7964
300662.SZ,18.35,38.89,40.2271,72.61,5.4405,9.4615,0.4131,38.2601,2.5262,4.8684,330300,700020
300663.SZ,13.43,39.41,60.4435,145.8251,4.2311,8.7129,0.3589,65.668,3.9009,8.4945,270566.0943,628366.0819
300664.SZ,9.13,28.02,23.3554,61.2597,1.4549,4.576,0.0085,55.6937,5.9942,17.6167,438240,1344960
300665.SZ,9.05,30.95,33.4861,81.726,2.4738,5.3588,1.5587,44.0837,3.1275,8.2944,110048,235220
300666.SZ,34.24,80.8,106.0908,270.6583,12.4926,31.2016,1.5416,28.7619,11.8925,32.1232,749034.24,1767580.8
300667.SZ,22.36,74.07,50.576,118.1071,6.1706,14.0283,0.2189,75.175,12.7677,29.0684,200940,503676
300668.SZ,15.66,96.71,21.9106,71.8585,4.561,11.1552,0.2826,58.7463,5.6541,17.2166,165056.4,407729.36
300669.SZ,16.81,26.36,37.3313,57.304,3.1103,5.0103,0.2936,16.059,5.3712,8.5571,141540.2,221951.2
300670.SZ,12.77,36.2,32.5294,106.6809,3.3226,8.005,0.313,68.8731,5.8032,13.1508,183384,459950.4
300671.SZ,14.38,48.83,28.0075,84.121,3.7121,9.8976,1.2055,35.9509,3.9393,11.2543,204037.82,494892.05
300672.SZ,35.68,74.13,34.9119,275.6964,4.3949,8.5622,0.922,35.6443,9.2567,20.1216,398776.3354,828511.4839
300673.SZ,37.63,74.1,30.7804,54.7414,3.8995,8.0365,0.7609,15.7711,5.3117,9.8288,315200,673920
300674.SZ,12.04,40.84,24.3474,83.3476,3.1059,9.8619,0.0262,70.9216,2.6721,8.4845,481612.04,1633640.84
300675.SZ,19.73,43.08,66.2934,416.0314,7.0191,15.3405,1.5237,54.9313,7.0906,16.5571,289373.3991,631840.1436
300676.SZ,48.11,209.01,46.4076,215.5143,4.6363,20.6771,0.5262,14.8885,8.1976,43.9905,1924881.1,8362490.1
300677.SZ,14.67,77.1,17.7854,55.6601,2.3795,6.9644,1.1667,56.992,1.5834,4.5564,288219.4567,757386.507
300678.SZ,17.19,66.96,71.0026,157.4184,5.8043,12.7582,1.7198,53.658,9.8087,23.0345,309420,669600
300679.SZ,21.03,96.4,15.2282,33.9044,1.4063,3.8286,0.8914,15.4633,3.365,7.9629,454248,1156800
300680.SZ,15.13,46.48,70.3535,413.2899,2.1437,9.6516,0.2329,63.8072,6.0772,25.1953,112435.1469,316064
300681.SZ,29.53,64.43,26.2277,57.0722,3.4264,7.8427,0.5381,19.0373,3.5173,8.4445,223246.8,487090.8
300682.SZ,12.12,30.72,39.0128,171.5364,4.6428,11.514,0.1796,64.9214,6.6637,16.4828,505084.3956,1280287.642
300683.SZ,24.86,72.5,21.719,44.5873,1.5281,4.6725,0.394,21.3503,4.1248,9.0672,256940.6294,749324.04
300684.SZ,15.33,97.7,24.6515,144.0043,2.6551,14.6098,0.019,74.6808,4.626,26.7589,133171.71,848719.9
300685.SZ,37.11,130.28,43.7754,107.7399,7.3619,15.4594,0.6782,13.3211,13.4193,29.4457,534384,1042240
300686.SZ,13.05,15.41,380.2267,448.988,4.3387,5.1233,10.2265,26.899,4.0982,4.8393,269936.64,318752.768
300687.SZ,27.08,30.24,34.6073,38.6457,4.5543,5.0858,6.8049,11.9116,4.3392,4.8456,392987.668,438845.904
300688.SZ,32.88,79.18,46.1476,285.8974,5.6979,14.2976,2.0543,61.4102,7.9959,29.1785,223584,538424
300689.SZ,28.5,48.4,37.3956,63.5158,3.4991,6.2513,1.7685,56.9352,6.0283,11.0683,193800,329120
300690.SZ,15.12,58.33,17.5139,38.2749,1.7843,4.522,1.016,50.0426,3.2664,6.7873,167747.328,404460.22
300691.SZ,19.95,81.82,36.6426,76.8361,3.4887,9.25,0.4077,14.5757,2.6438,7.9589,279438.852,699970.1
300692.SZ,11.34,46.05,31.4472,95.2344,2.4734,7.0793,1.3938,52.7589,5.1049,23.36,181445.67,491215.35
300693.SZ,13.48,39.75,38.8229,114.1447,3.1544,7.7428,1.7401,59.8964,3.8514,10.2457,184474.2435,442026.5627
300694.SZ,14.24,28.02,28.4752,65.9778,2.7182,5.3486,0.1335,74.0647,2.9619,5.8281,306611.3752,603318.1696
300695.SZ,47.14,91,14.4298,30.3037,1.9412,3.9269,0.6272,17.2929,5.5173,9.9206,314318.6778,606767.07
300696.SZ,19.54,83.8,27.7537,78.4665,3.1507,8.2707,1.0039,47.6569,15.0877,42.4928,229038.11,577801
300697.SZ,10.08,28,31.2219,67.9996,2.8148,6.414,2.4255,41.7908,1.5001,3.4843,209664,448000
300698.SZ,13.06,33.39,74.0092,784.7002,4.6027,11.7025,1.4403,57.7065,6.2395,12.4651,175004,447426
300699.SZ,35.01,68.27,38.1152,93.8623,4.5738,9.8114,0.7771,13.3095,10.8356,26.9039,1296245.25,2512336
300700.SZ,19.43,76.28,15.2167,79.1097,2.8719,12.7346,1.4847,28.0238,3.7985,17.9889,160103.2,628547.2
300701.SZ,27.33,55.5,34.0742,73.9357,5.1453,10.1591,1.9591,60.5019,12.2893,25.0244,218640,444000
300702.SZ,13.93,44.81,28.4255,68.5725,1.9327,4.3119,1.1206,30.9151,2.0684,4.633,253549.6699,579830.0931
300703.SZ,13.64,37.35,19.1824,78.6773,2.6479,6.3416,1.2955,74.1252,2.0955,5.2397,163680,353160
300705.SZ,11.09,55.7,34.7664,101.7859,2.7811,11.0009,1.8433,68.6865,3.4892,11.8199,252046.32,724926.52
300706.SZ,20.09,90.97,85.819,190.8382,6.5881,20.078,1.8179,57.4607,11.8229,35.1743,283510.08,837123.84
300707.SZ,14,76.61,23.6526,60.5846,3.3243,10.164,1.4327,67.9997,4.3337,12.2223,220080,613080
300708.SZ,8.61,33.99,41.0142,176.3359,3.5623,12.565,1.4587,54.4958,4.2564,14.1998,223330.485,874664.67
300709.SZ,24.1,77.54,26.441,93.5951,1.7022,5.5328,0.516,14.9222,2.5968,7.9797,212080,682352
300710.SZ,18.69,46.19,40.0291,182.4546,2.2269,5.543,1.7991,55.9299,3.8286,8.1507,128239.566,316928.066
300711.SZ,15.56,31.5,46.2737,195.5983,3.9892,8.4835,3.0417,60.4339,10.0645,17.8179,224368.9044,454217.2551
300712.SZ,13.21,27.45,23.7609,44.6567,2.0561,4.5193,0.6451,26.9547,2.9479,6.1936,185045.68,384519.6
300713.SZ,17.4,86.9,28.8284,174.3047,2.2249,6.6792,1.8768,38.0103,5.3238,11.564,166387.5,461656.25
300715.SZ,17.09,56.02,39.022,109.7245,5.1261,13.5468,1.0539,73.1242,4.1407,12.2776,187488,511660.8
300716.SZ,9.63,32.3,23.7708,52.8057,1.8924,4.256,1.1214,45.917,1.5322,4.6142,154099.26,344576.4
300717.SZ,12.83,42.8,28.7795,62.9392,2.4869,5.6613,1.5795,42.74,4.1754,9.8411,131379.2,286003.2
300718.SZ,14.08,50.6,20.9783,40.4388,2.5741,4.8696,1.3765,57.4302,4.2923,8.4473,278784,506000
300719.SZ,9.32,32.35,28.884,62.7336,2.706,6.0812,1.2602,66.38,5.2827,12.3376,236101.23,543480
