ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh,close,closerate,pe_ttm,pe_ttmrate,pb,pbrate,turnover_rate_f,turnover_rate_frate,ps_ttm,ps_ttmrate,total_mv,total_mvrate,mv,mv_low,mv_high
002706.SZ,5.17,71.03,17.296,79.2639,2.3867,10.4997,0.0314,53.9578,2.6382,9.189,362231.415,839181.8443,6.6,2.171272396,23.3618,9.788616364,2.9454,6.886478491,2.1034,3.842273914,3.2931,9.997252244,518265.4752,32.71494281,,,
002707.SZ,5.19,203,17.6806,257.9203,1.6496,21.2712,0.0004,57.0101,0.3768,6.6232,366993.84,3021319.405,7.55,1.193064051,191.0164,72.151189,2.3997,3.822827904,4.1885,7.346293701,0.543,2.660732582,668488.6678,11.35862276,,,
002708.SZ,3.79,41.98,47.2029,390.6501,1.1705,9.6292,0.5105,62.879,1.2106,15.7119,177698.3478,878517.3936,11.12,19.19350615,,,3.711,30.03416601,22.3037,34.94263931,3.8404,18.13492583,521373.5165,49.03907375,,,
002709.SZ,18.31,138.82,10.836,196.0469,2.2182,20.2398,0.3004,34.9638,3.0133,21.9228,332460.8452,2490627.776,33.46,12.57157082,24.7368,7.505389802,4.0222,10.01020997,5.092,13.82322565,5.4613,12.94587377,1135865.553,37.22625419,,,
002711.SZ,3.03,118.8,13.1914,144.2054,1.6854,14.0148,0.0369,34.2621,0.46,9.2767,319989.3312,1782118.8,4.67,1.416601883,,,3.5396,15.03885023,9.8868,28.77967112,0.8867,4.839679245,493184.8768,11.84543156,,,
002712.SZ,5.59,147.8,12.555,144.5423,0.9349,13.39,0.1327,44.2172,0.6054,5.4701,324892.1908,1304918.943,8.93,2.348639336,22.1235,7.249561132,1.4785,4.364477202,13.9578,31.36045549,0.9973,8.055995231,519013.8218,19.80778898,,,
002713.SZ,14,88.81,14.9276,136.134,3.6077,17.4442,0.2385,16.0992,0.9292,7.0457,349553.3328,1375742.046,19.08,6.790536025,19.1745,3.503857882,4.1467,3.895493803,4.1889,24.90684522,1.1871,4.216463664,501165.8828,14.7743342,,,
002714.SZ,21.21,105.31,10.2037,306.0251,2.8617,18.5099,0.3181,13.9801,3.8709,13.6296,1144660,12152745.05,55.75,41.07015458,223.4714,72.09339825,9.4596,42.16395496,2.5498,16.33509003,8.6832,49.31292078,11625180.79,95.20748377,,,
002715.SZ,12.66,72.15,85.1001,573.0656,2.4151,13.2415,0.1698,41.018,3.2417,23.5339,116472,663780,18.7,10.15296689,180.8587,19.62405129,3.5331,10.32660903,4.6884,11.06193174,4.7723,7.542799696,172040,10.15296689,,,
002716.SZ,5.7,33.3,19.7916,139.7017,1.4459,7.2559,0.1272,44.7101,0.4498,2.3854,395083.1336,1461555.949,8.46,10,58.6744,32.42662628,2.1844,12.71084337,21.8489,48.72204365,0.7729,16.69249845,812564.5504,39.14599704,,,
002717.SZ,6.97,50.57,9.1924,104.4237,1.6343,16.6115,0.0195,28.5183,0.8996,10.8615,360281.16,1623335,9.25,5.229357798,12.3533,3.319181824,2.109,3.169484283,4.0092,13.99953682,1.0945,1.95645409,947596.874,46.49965785,,,
002718.SZ,22.7,119,16.339,62.4009,1.7495,11.4692,0.3419,25.4003,2.6998,17.5813,198924.3812,807703.0933,32.9,10.59190031,27.4452,24.11146739,2.4243,6.942601109,5.098,18.98006257,3.975,8.56902866,288308.9049,14.6825968,,,
002719.SZ,9.47,72.87,40.7271,651.8339,1.4099,7.3304,0.4655,49.2784,2.6507,24.3975,164910.0658,792258.3872,13.65,6.593059937,,,2.4256,17.15564564,11.8647,23.3528432,3.8761,5.634852024,237700.3588,11.60285132,,,
002721.SZ,5.17,91.7,18.5173,1519.2798,0.9247,11.7534,0.1171,60.2479,0.2582,3.4483,254220,2344594.248,7.01,2.12643014,,,1.2712,3.199830081,6.5873,10.76020941,0.3922,4.200495282,585137.426,15.83053495,,,
002722.SZ,13.16,74.23,23.8059,154.1102,1.3045,10.4215,0.0622,48.102,1.0082,14.994,223812.9,1302488.141,17.99,7.908956935,26.1458,1.795719711,1.7237,4.598003729,6.4649,13.32790728,1.3845,2.690586166,315664.3091,8.515205097,,,
002723.SZ,7.15,62.88,50.944,1237.0268,2.0735,10.2054,0.0117,48.5905,1.4664,9.8916,133490.5,653450,10.44,5.903463126,,,3.413,16.47216518,6.4736,13.30189301,2.3976,11.05255662,199372.68,12.67063685,,,
002724.SZ,4.75,46.5,20.2389,151.6325,1.963,11.9609,0.1982,58.427,2.9157,18.0666,342000,1860000,6.74,4.766467066,26.061,4.431037737,2.5609,5.980255854,2.3696,3.729082516,3.8723,6.313816341,485280,9.438735178,,,
002725.SZ,6.47,43.76,27.3824,284.3194,1.7965,6.9402,0.3068,49.9884,1.9187,7.5759,165632,589280,10.47,10.72673639,57.1158,11.57225312,2.8044,19.59484418,6.5338,12.53381534,2.7709,15.06398925,268032,24.1710099,,,
002726.SZ,9.12,10.81,39.5458,46.9076,3.389,3.8827,3.0781,12.0613,0.7849,0.9311,689059.776,817335.452,9.2,4.733727811,39.8927,4.712162786,3.4187,6.015799068,3.0781,0,0.7918,4.719562244,695104.16,4.71202662,,,
